,EVENT_DATE,EVENT_CD,VH_ID,ROUTE_ID,RUN_DIST,STATION_ORD,BUS_RUN_CNT,ROUTE_RUN_CNT
1352916,19/05/31 18:23:24,18,7996007,405130001,0,1,5,3
1360007,19/05/31 18:23:27,17,7996007,405130001,0,1,5,3
1342370,19/05/31 18:23:45,18,7996007,405130001,0,1,5,3
1363576,19/05/31 18:23:53,17,7996007,405130001,183,2,5,3
1328250,19/05/31 18:24:03,18,7996007,405130001,183,2,5,3
1335431,19/05/31 18:24:55,17,7996007,405130001,1087,3,5,3
1356726,19/05/31 18:25:29,18,7996007,405130001,1087,3,5,3
1339538,19/05/31 18:29:10,17,7996007,405130001,2207,4,5,3
1339587,19/05/31 18:29:36,18,7996007,405130001,2207,4,5,3
1492463,19/05/31 18:33:33,17,7996007,405130001,4400,5,5,3
1495993,19/05/31 18:33:34,18,7996007,405130001,4400,5,5,3
1489532,19/05/31 18:38:36,17,7996007,405130001,7077,6,5,3
1489575,19/05/31 18:38:37,18,7996007,405130001,7077,6,5,3
1503945,19/05/31 18:40:24,17,7996007,405130001,8101,7,5,3
1511077,19/05/31 18:40:52,18,7996007,405130001,8101,7,5,3
1515227,19/05/31 18:45:26,17,7996007,405130001,9308,8,5,3
1497644,19/05/31 18:46:07,18,7996007,405130001,9308,8,5,3
1512215,19/05/31 18:49:23,17,7996007,405130001,9882,9,5,3
1512251,19/05/31 18:49:24,18,7996007,405130001,9882,9,5,3
1410964,19/05/31 18:59:36,17,7996007,405130001,11483,10,5,3
1414516,19/05/31 18:59:37,18,7996007,405130001,11483,10,5,3
1404881,19/05/31 19:07:01,17,7996007,405130001,13395,11,5,3
1415536,19/05/31 19:07:06,18,7996007,405130001,13395,11,5,3
1429751,19/05/31 19:07:35,17,7996007,405130001,13889,12,5,3
1408811,19/05/31 19:09:27,18,7996007,405130001,13889,12,5,3
1388170,19/05/31 19:14:04,17,7996007,405130001,15122,13,5,3
1430765,19/05/31 19:14:45,18,7996007,405130001,15122,13,5,3
1377887,19/05/31 19:16:25,17,7996007,405130001,15673,14,5,3
1431063,19/05/31 19:16:47,18,7996007,405130001,15673,14,5,3
1385424,19/05/31 19:19:40,17,7996007,405130001,16831,15,5,3
1396100,19/05/31 19:20:08,18,7996007,405130001,16831,15,5,3
2072636,19/05/31 19:25:19,17,7996007,405130001,18591,16,5,3
2069122,19/05/31 19:25:40,18,7996007,405130001,18591,16,5,3
2065683,19/05/31 19:26:24,17,7996007,405130001,19376,17,5,3
2065758,19/05/31 19:26:47,18,7996007,405130001,19376,17,5,3
2098034,19/05/31 19:29:50,17,7996007,405130001,21303,18,5,3
2087483,19/05/31 19:30:11,18,7996007,405130001,21303,18,5,3
2077753,19/05/31 19:36:19,17,7996007,405130001,24810,19,5,3
2049432,19/05/31 19:36:29,18,7996007,405130001,24810,19,5,3
2071151,19/05/31 19:39:50,17,7996007,405130001,27077,20,5,3
2085335,19/05/31 19:39:56,18,7996007,405130001,27077,20,5,3
2078465,19/05/31 19:41:31,17,7996007,405130001,28481,21,5,3
2081996,19/05/31 19:41:32,18,7996007,405130001,28481,21,5,3
2054096,19/05/31 19:44:31,17,7996007,405130001,29976,22,5,3
2100179,19/05/31 19:44:50,18,7996007,405130001,29976,22,5,3
2051038,19/05/31 19:48:06,17,7996007,405130001,31124,23,5,3
2058166,19/05/31 19:48:34,18,7996007,405130001,31124,23,5,3
